day_type,bigger_id,c_users,geo
sobota,X379Y539,12,"POLYGON((16.8905353737373 52.4370627922433, 16.8903206754077 52.4415562341257, 16.8829676308127 52.4414247868882, 16.8831830760886 52.4369313662029, 16.8905353737373 52.4370627922433))"
niedziela,X379Y539,13,"POLYGON((16.8905353737373 52.4370627922433, 16.8903206754077 52.4415562341257, 16.8829676308127 52.4414247868882, 16.8831830760886 52.4369313662029, 16.8905353737373 52.4370627922433))"
dzien_roboczy,X379Y539,12,"POLYGON((16.8905353737373 52.4370627922433, 16.8903206754077 52.4415562341257, 16.8829676308127 52.4414247868882, 16.8831830760886 52.4369313662029, 16.8905353737373 52.4370627922433))"
sobota,X380Y561,1,"POLYGON((16.8950309900259 52.3426995763444, 16.8952444472976 52.3382060452907, 16.9025804179235 52.3383365508506, 16.9023677033091 52.3428301029341, 16.8994330112638 52.3427779469348, 16.8950309900259 52.3426995763444))"
niedziela,X380Y561,1,"POLYGON((16.8950309900259 52.3426995763444, 16.8952444472976 52.3382060452907, 16.9025804179235 52.3383365508506, 16.9023677033091 52.3428301029341, 16.8994330112638 52.3427779469348, 16.8950309900259 52.3426995763444))"
dzien_roboczy,X380Y561,1,"POLYGON((16.8950309900259 52.3426995763444, 16.8952444472976 52.3382060452907, 16.9025804179235 52.3383365508506, 16.9023677033091 52.3428301029341, 16.8994330112638 52.3427779469348, 16.8950309900259 52.3426995763444))"
sobota,X388Y548,71,"POLYGON((16.9583704032939 52.4022758884198, 16.951023573053 52.4021487383742, 16.9512318003746 52.3976550933832, 16.9585778852601 52.3977822229313, 16.9585156464122 52.3991303229995, 16.9583704032939 52.4022758884198))"
niedziela,X388Y548,66,"POLYGON((16.9583704032939 52.4022758884198, 16.951023573053 52.4021487383742, 16.9512318003746 52.3976550933832, 16.9585778852601 52.3977822229313, 16.9585156464122 52.3991303229995, 16.9583704032939 52.4022758884198))"
dzien_roboczy,X388Y548,69,"POLYGON((16.9583704032939 52.4022758884198, 16.951023573053 52.4021487383742, 16.9512318003746 52.3976550933832, 16.9585778852601 52.3977822229313, 16.9585156464122 52.3991303229995, 16.9583704032939 52.4022758884198))"
sobota,X383Y530,1,"POLYGON((16.9104655072926 52.4823891977359, 16.9106784698224 52.4778957290783, 16.918037723086 52.4780255159814, 16.9178255093542 52.4825190055801, 16.9104655072926 52.4823891977359))"
niedziela,X383Y530,1,"POLYGON((16.9104655072926 52.4823891977359, 16.9106784698224 52.4778957290783, 16.918037723086 52.4780255159814, 16.9178255093542 52.4825190055801, 16.9104655072926 52.4823891977359))"
dzien_roboczy,X383Y530,1,"POLYGON((16.9104655072926 52.4823891977359, 16.9106784698224 52.4778957290783, 16.918037723086 52.4780255159814, 16.9178255093542 52.4825190055801, 16.9104655072926 52.4823891977359))"
sobota,X400Y558,9,"POLYGON((17.0487176000705 52.3543329121908, 17.0485195862632 52.3588268575885, 17.0411795596044 52.3587053799346, 17.0411994377031 52.3582559875312, 17.0413783170346 52.3542114541134, 17.0487176000705 52.3543329121908))"
niedziela,X400Y558,9,"POLYGON((17.0487176000705 52.3543329121908, 17.0485195862632 52.3588268575885, 17.0411795596044 52.3587053799346, 17.0411994377031 52.3582559875312, 17.0413783170346 52.3542114541134, 17.0487176000705 52.3543329121908))"
dzien_roboczy,X400Y558,7,"POLYGON((17.0487176000705 52.3543329121908, 17.0485195862632 52.3588268575885, 17.0411795596044 52.3587053799346, 17.0411994377031 52.3582559875312, 17.0413783170346 52.3542114541134, 17.0487176000705 52.3543329121908))"
sobota,X375Y532,3,"POLYGON((16.8520253781646 52.472347660949, 16.8522442148107 52.4678543543198, 16.8596015162072 52.4679877581775, 16.8593834278048 52.4724810863285, 16.8549685910999 52.4724010859881, 16.8520253781646 52.472347660949))"
niedziela,X375Y532,2,"POLYGON((16.8520253781646 52.472347660949, 16.8522442148107 52.4678543543198, 16.8596015162072 52.4679877581775, 16.8593834278048 52.4724810863285, 16.8549685910999 52.4724010859881, 16.8520253781646 52.472347660949))"
dzien_roboczy,X375Y532,2,"POLYGON((16.8520253781646 52.472347660949, 16.8522442148107 52.4678543543198, 16.8596015162072 52.4679877581775, 16.8593834278048 52.4724810863285, 16.8549685910999 52.4724010859881, 16.8520253781646 52.472347660949))"
sobota,X381Y534,56,"POLYGON((16.8966031727816 52.4641544787284, 16.8968174065591 52.4596610359725, 16.9041735541481 52.4597916536137, 16.9039600683406 52.464285117441, 16.8995459242311 52.4642067890889, 16.8966031727816 52.4641544787284))"
niedziela,X381Y534,60,"POLYGON((16.8966031727816 52.4641544787284, 16.8968174065591 52.4596610359725, 16.9041735541481 52.4597916536137, 16.9039600683406 52.464285117441, 16.8995459242311 52.4642067890889, 16.8966031727816 52.4641544787284))"
dzien_roboczy,X381Y534,46,"POLYGON((16.8966031727816 52.4641544787284, 16.8968174065591 52.4596610359725, 16.9041735541481 52.4597916536137, 16.9039600683406 52.464285117441, 16.8995459242311 52.4642067890889, 16.8966031727816 52.4641544787284))"
sobota,X396Y545,3,"POLYGON((17.0093950476194 52.412140763071, 17.0167438015429 52.4122643021311, 17.0165421236676 52.4167581170076, 17.0113974680581 52.4166716736633, 17.0091926236483 52.4166345580253, 17.0093950476194 52.412140763071))"
niedziela,X396Y545,6,"POLYGON((17.0093950476194 52.412140763071, 17.0167438015429 52.4122643021311, 17.0165421236676 52.4167581170076, 17.0113974680581 52.4166716736633, 17.0091926236483 52.4166345580253, 17.0093950476194 52.412140763071))"
dzien_roboczy,X396Y545,2,"POLYGON((17.0093950476194 52.412140763071, 17.0167438015429 52.4122643021311, 17.0165421236676 52.4167581170076, 17.0113974680581 52.4166716736633, 17.0091926236483 52.4166345580253, 17.0093950476194 52.412140763071))"
sobota,X377Y543,20,"POLYGON((16.8766950341352 52.4188258450441, 16.8764790698649 52.4233192607089, 16.8691291255854 52.4231869850157, 16.8691507991958 52.4227376457649, 16.8693458359761 52.4186935906778, 16.8766950341352 52.4188258450441))"
niedziela,X377Y543,19,"POLYGON((16.8766950341352 52.4188258450441, 16.8764790698649 52.4233192607089, 16.8691291255854 52.4231869850157, 16.8691507991958 52.4227376457649, 16.8693458359761 52.4186935906778, 16.8766950341352 52.4188258450441))"
dzien_roboczy,X377Y543,17,"POLYGON((16.8766950341352 52.4188258450441, 16.8764790698649 52.4233192607089, 16.8691291255854 52.4231869850157, 16.8691507991958 52.4227376457649, 16.8693458359761 52.4186935906778, 16.8766950341352 52.4188258450441))"
sobota,X386Y541,86,"POLYGON((16.9348605025626 52.4333481829766, 16.9350285912958 52.4297533228369, 16.9350706079382 52.4288546073991, 16.9424218042192 52.4289827940266, 16.9422124455344 52.4334763902778, 16.9348605025626 52.4333481829766))"
niedziela,X386Y541,92,"POLYGON((16.9348605025626 52.4333481829766, 16.9350285912958 52.4297533228369, 16.9350706079382 52.4288546073991, 16.9424218042192 52.4289827940266, 16.9422124455344 52.4334763902778, 16.9348605025626 52.4333481829766))"
dzien_roboczy,X386Y541,75,"POLYGON((16.9348605025626 52.4333481829766, 16.9350285912958 52.4297533228369, 16.9350706079382 52.4288546073991, 16.9424218042192 52.4289827940266, 16.9422124455344 52.4334763902778, 16.9348605025626 52.4333481829766))"
sobota,X372Y555,4,"POLYGON((16.8350217228361 52.368599048728, 16.8352414675456 52.3641057130716, 16.8403794430032 52.3641997547487, 16.8425814411483 52.3642399899836, 16.8423624401082 52.3687333472818, 16.8350217228361 52.368599048728))"
niedziela,X372Y555,4,"POLYGON((16.8350217228361 52.368599048728, 16.8352414675456 52.3641057130716, 16.8403794430032 52.3641997547487, 16.8425814411483 52.3642399899836, 16.8423624401082 52.3687333472818, 16.8350217228361 52.368599048728))"
dzien_roboczy,X372Y555,5,"POLYGON((16.8350217228361 52.368599048728, 16.8352414675456 52.3641057130716, 16.8403794430032 52.3641997547487, 16.8425814411483 52.3642399899836, 16.8423624401082 52.3687333472818, 16.8350217228361 52.368599048728))"
sobota,X388Y544,11,"POLYGON((16.9501901146483 52.4201232781402, 16.9503985616558 52.4156296492285, 16.9577476291399 52.415756860792, 16.9575607008239 52.419801145456, 16.9575399282726 52.4202505102179, 16.9501901146483 52.4201232781402))"
niedziela,X388Y544,9,"POLYGON((16.9501901146483 52.4201232781402, 16.9503985616558 52.4156296492285, 16.9577476291399 52.415756860792, 16.9575607008239 52.419801145456, 16.9575399282726 52.4202505102179, 16.9501901146483 52.4201232781402))"
dzien_roboczy,X388Y544,11,"POLYGON((16.9501901146483 52.4201232781402, 16.9503985616558 52.4156296492285, 16.9577476291399 52.415756860792, 16.9575607008239 52.419801145456, 16.9575399282726 52.4202505102179, 16.9501901146483 52.4201232781402))"
sobota,X376Y542,12,"POLYGON((16.8689123580453 52.4276803752869, 16.8630318467207 52.4275742088641, 16.8615617246183 52.4275476215918, 16.8617792384551 52.4230542527254, 16.8691291255854 52.4231869850157, 16.8689123580453 52.4276803752869))"
niedziela,X376Y542,14,"POLYGON((16.8689123580453 52.4276803752869, 16.8630318467207 52.4275742088641, 16.8615617246183 52.4275476215918, 16.8617792384551 52.4230542527254, 16.8691291255854 52.4231869850157, 16.8689123580453 52.4276803752869))"
dzien_roboczy,X376Y542,11,"POLYGON((16.8689123580453 52.4276803752869, 16.8630318467207 52.4275742088641, 16.8615617246183 52.4275476215918, 16.8617792384551 52.4230542527254, 16.8691291255854 52.4231869850157, 16.8689123580453 52.4276803752869))"
sobota,X372Y559,31,"POLYGON((16.8361198679229 52.3461323295732, 16.8434568688019 52.3462665199619, 16.8432380983242 52.3507598935915, 16.8403029938932 52.3507062634327, 16.8359003545572 52.3506256815785, 16.8361198679229 52.3461323295732))"
niedziela,X372Y559,24,"POLYGON((16.8361198679229 52.3461323295732, 16.8434568688019 52.3462665199619, 16.8432380983242 52.3507598935915, 16.8403029938932 52.3507062634327, 16.8359003545572 52.3506256815785, 16.8361198679229 52.3461323295732))"
dzien_roboczy,X372Y559,25,"POLYGON((16.8361198679229 52.3461323295732, 16.8434568688019 52.3462665199619, 16.8432380983242 52.3507598935915, 16.8403029938932 52.3507062634327, 16.8359003545572 52.3506256815785, 16.8361198679229 52.3461323295732))"
sobota,X380Y542,21,"POLYGON((16.8911791290865 52.4235824422719, 16.8985292436358 52.4237133481254, 16.8983154614828 52.4282068232805, 16.8924347682219 52.428102118245, 16.8909646005568 52.4280758963163, 16.8911791290865 52.4235824422719))"
niedziela,X380Y542,22,"POLYGON((16.8911791290865 52.4235824422719, 16.8985292436358 52.4237133481254, 16.8983154614828 52.4282068232805, 16.8924347682219 52.428102118245, 16.8909646005568 52.4280758963163, 16.8911791290865 52.4235824422719))"
dzien_roboczy,X380Y542,30,"POLYGON((16.8911791290865 52.4235824422719, 16.8985292436358 52.4237133481254, 16.8983154614828 52.4282068232805, 16.8924347682219 52.428102118245, 16.8909646005568 52.4280758963163, 16.8911791290865 52.4235824422719))"
sobota,X386Y533,34,"POLYGON((16.9333882120602 52.4648030992159, 16.9407453873759 52.464931451351, 16.9405355863536 52.4694250154055, 16.9331776627725 52.4692966425631, 16.9333882120602 52.4648030992159))"
niedziela,X386Y533,27,"POLYGON((16.9333882120602 52.4648030992159, 16.9407453873759 52.464931451351, 16.9405355863536 52.4694250154055, 16.9331776627725 52.4692966425631, 16.9333882120602 52.4648030992159))"
dzien_roboczy,X386Y533,16,"POLYGON((16.9333882120602 52.4648030992159, 16.9407453873759 52.464931451351, 16.9405355863536 52.4694250154055, 16.9331776627725 52.4692966425631, 16.9333882120602 52.4648030992159))"
sobota,X369Y550,10,"POLYGON((16.8192334276399 52.390795483922, 16.81188916364 52.3906597089926, 16.8121114318054 52.3861664592056, 16.8150488325552 52.3862208151376, 16.8194549512191 52.3863022122513, 16.8192334276399 52.390795483922))"
niedziela,X369Y550,12,"POLYGON((16.8192334276399 52.390795483922, 16.81188916364 52.3906597089926, 16.8121114318054 52.3861664592056, 16.8150488325552 52.3862208151376, 16.8194549512191 52.3863022122513, 16.8192334276399 52.390795483922))"
dzien_roboczy,X369Y550,9,"POLYGON((16.8192334276399 52.390795483922, 16.81188916364 52.3906597089926, 16.8121114318054 52.3861664592056, 16.8150488325552 52.3862208151376, 16.8194549512191 52.3863022122513, 16.8192334276399 52.390795483922))"
sobota,X386Y537,15,"POLYGON((16.9342298538331 52.4468288855375, 16.9415840380573 52.4469571548853, 16.9413744583592 52.4514507350387, 16.9340195266575 52.4513224450004, 16.9342298538331 52.4468288855375))"
niedziela,X386Y537,12,"POLYGON((16.9342298538331 52.4468288855375, 16.9415840380573 52.4469571548853, 16.9413744583592 52.4514507350387, 16.9340195266575 52.4513224450004, 16.9342298538331 52.4468288855375))"
dzien_roboczy,X386Y537,13,"POLYGON((16.9342298538331 52.4468288855375, 16.9415840380573 52.4469571548853, 16.9413744583592 52.4514507350387, 16.9340195266575 52.4513224450004, 16.9342298538331 52.4468288855375))"
sobota,X373Y553,3,"POLYGON((16.849484900225 52.37336056494, 16.8492665278628 52.3778539356491, 16.8426584886323 52.3777334587433, 16.8419242649341 52.3777200496288, 16.8421433813768 52.3732267004969, 16.849484900225 52.37336056494))"
niedziela,X373Y553,1,"POLYGON((16.849484900225 52.37336056494, 16.8492665278628 52.3778539356491, 16.8426584886323 52.3777334587433, 16.8419242649341 52.3777200496288, 16.8421433813768 52.3732267004969, 16.849484900225 52.37336056494))"
dzien_roboczy,X373Y553,2,"POLYGON((16.849484900225 52.37336056494, 16.8492665278628 52.3778539356491, 16.8426584886323 52.3777334587433, 16.8419242649341 52.3777200496288, 16.8421433813768 52.3732267004969, 16.849484900225 52.37336056494))"
sobota,X373Y559,15,"POLYGON((16.8432380983242 52.3507598935915, 16.8434568688019 52.3462665199619, 16.8500602188382 52.3463869020157, 16.8507939272711 52.3464002550333, 16.8505758997016 52.350893650214, 16.8432380983242 52.3507598935915))"
niedziela,X373Y559,11,"POLYGON((16.8432380983242 52.3507598935915, 16.8434568688019 52.3462665199619, 16.8500602188382 52.3463869020157, 16.8507939272711 52.3464002550333, 16.8505758997016 52.350893650214, 16.8432380983242 52.3507598935915))"
dzien_roboczy,X373Y559,12,"POLYGON((16.8432380983242 52.3507598935915, 16.8434568688019 52.3462665199619, 16.8500602188382 52.3463869020157, 16.8507939272711 52.3464002550333, 16.8505758997016 52.350893650214, 16.8432380983242 52.3507598935915))"
sobota,X365Y530,1,"POLYGON((16.785354235997 52.4801124578663, 16.7809388529602 52.4800296866999, 16.7779952762059 52.4799744144307, 16.7782217136511 52.4754813353116, 16.7855799250107 52.47561935648, 16.785354235997 52.4801124578663))"
niedziela,X365Y530,1,"POLYGON((16.785354235997 52.4801124578663, 16.7809388529602 52.4800296866999, 16.7779952762059 52.4799744144307, 16.7782217136511 52.4754813353116, 16.7855799250107 52.47561935648, 16.785354235997 52.4801124578663))"
dzien_roboczy,X365Y530,3,"POLYGON((16.785354235997 52.4801124578663, 16.7809388529602 52.4800296866999, 16.7779952762059 52.4799744144307, 16.7782217136511 52.4754813353116, 16.7855799250107 52.47561935648, 16.785354235997 52.4801124578663))"
niedziela,X378Y541,1,"POLYGON((16.8760469704455 52.4323060798513, 16.8762630486417 52.4278126723114, 16.883613796211 52.4279445126572, 16.8834200002698 52.4319885987616, 16.883398464548 52.4324379414592, 16.8760469704455 52.4323060798513))"
sobota,X389Y537,1,"POLYGON((16.9562925721562 52.4472123224386, 16.9636469216373 52.4473392206284, 16.9634395844882 52.4518328624119, 16.9560844874714 52.4517059437523, 16.956271766158 52.4476616847507, 16.9562925721562 52.4472123224386))"
niedziela,X389Y537,1,"POLYGON((16.9562925721562 52.4472123224386, 16.9636469216373 52.4473392206284, 16.9634395844882 52.4518328624119, 16.9560844874714 52.4517059437523, 16.956271766158 52.4476616847507, 16.9562925721562 52.4472123224386))"
dzien_roboczy,X389Y537,2,"POLYGON((16.9562925721562 52.4472123224386, 16.9636469216373 52.4473392206284, 16.9634395844882 52.4518328624119, 16.9560844874714 52.4517059437523, 16.956271766158 52.4476616847507, 16.9562925721562 52.4472123224386))"
sobota,X381Y550,136,"POLYGON((16.9073690932596 52.3923892107392, 16.9000241416265 52.3922589086564, 16.9002374734222 52.387765401107, 16.9039095698116 52.3878305986525, 16.907581680228 52.3878956821867, 16.9073690932596 52.3923892107392))"
niedziela,X381Y550,118,"POLYGON((16.9073690932596 52.3923892107392, 16.9000241416265 52.3922589086564, 16.9002374734222 52.387765401107, 16.9039095698116 52.3878305986525, 16.907581680228 52.3878956821867, 16.9073690932596 52.3923892107392))"
dzien_roboczy,X381Y550,102,"POLYGON((16.9073690932596 52.3923892107392, 16.9000241416265 52.3922589086564, 16.9002374734222 52.387765401107, 16.9039095698116 52.3878305986525, 16.907581680228 52.3878956821867, 16.9073690932596 52.3923892107392))"
sobota,X387Y535,50,"POLYGON((16.9411648233593 52.4559443111675, 16.9485205580567 52.4560721647085, 16.9483116156262 52.4605657574379, 16.940955133038 52.4604378832716, 16.9411648233593 52.4559443111675))"
niedziela,X387Y535,50,"POLYGON((16.9411648233593 52.4559443111675, 16.9485205580567 52.4560721647085, 16.9483116156262 52.4605657574379, 16.940955133038 52.4604378832716, 16.9411648233593 52.4559443111675))"
