bigger_id,c_users,geo
X385Y557,898,"POLYGON((16.9308755869439 52.3613221576946, 16.9310855517637 52.3568285383501, 16.9369569240002 52.3569312243818, 16.9384247725763 52.3569568503332, 16.9382155512924 52.3614504903581, 16.9308755869439 52.3613221576946))"
X389Y526,13,"POLYGON((16.9537919277483 52.5011355131139, 16.9540006174863 52.4966419359829, 16.9613632006988 52.4967690595682, 16.9611552606658 52.5012626572146, 16.9552645899285 52.5011609785699, 16.9537919277483 52.5011355131139))"
X376Y552,8741,"POLYGON((16.8637342848472 52.3826137497398, 16.8639512261326 52.3781203401665, 16.8661539506263 52.3781601435759, 16.8712936610824 52.3782528586473, 16.8710774641336 52.3827462895821, 16.8637342848472 52.3826137497398))"
X374Y536,4172,"POLYGON((16.853118984153 52.4498810870409, 16.8529003783632 52.4543744099748, 16.8455453781993 52.4542406135609, 16.8457208654092 52.4506459728026, 16.8457647314249 52.449747312205, 16.853118984153 52.4498810870409))"
X378Y545,13457,"POLYGON((16.8842594506204 52.4144642019024, 16.8805851889446 52.4143983706675, 16.8769109414726 52.4143324253169, 16.877126791897 52.4098390015275, 16.8844745552968 52.4099707568682, 16.8842594506204 52.4144642019024))"
X388Y550,66194,"POLYGON((16.9514399728229 52.3931614443726, 16.9516272811257 52.3891171568262, 16.9516480904172 52.3886677913423, 16.9589926851798 52.3887948799076, 16.958785312549 52.3932885534271, 16.9514399728229 52.3931614443726))"
X372Y538,1811,"POLYGON((16.831277189528 52.4449851294321, 16.8314979210774 52.4404918632748, 16.8388505636887 52.4406265086928, 16.838630579141 52.4451197965664, 16.831277189528 52.4449851294321))"
X390Y547,11310,"POLYGON((16.9730642276689 52.4025288195279, 16.9728581821669 52.4070225217841, 16.9655104971393 52.4068962640417, 16.9657172882312 52.4024025821403, 16.9708601401267 52.4024909962271, 16.9730642276689 52.4025288195279))"
X381Y559,2692,"POLYGON((16.9019421060333 52.3518171949565, 16.9021549326855 52.3473236509694, 16.9094924448498 52.3474537432114, 16.9092803612649 52.3519473081634, 16.9070788788219 52.3519083220246, 16.9019421060333 52.3518171949565))"
X370Y538,845,"POLYGON((16.8166372589999 52.44336645808, 16.8167928106889 52.4402212018969, 16.8241453366786 52.4403567610067, 16.823923858148 52.4448500053741, 16.8165705851977 52.4447144244009, 16.8166372589999 52.44336645808))"
