ID,Powiaty,area_ha,area_km,pop_total,pop_per_km2,rank_area,rank_pop
0201,   bolesławiecki,130349,1303,87922,67,64,97
0202,   dzierżoniowski,47851,479,95863,200,286,85
0203,   głogowski,44326,443,85689,193,294,103
0204,   górowski,73825,738,32738,44,201,300
0205,   jaworski,58110,581,47584,82,263,243
0207,   kamiennogórski,39571,396,40786,103,302,273
0206,   karkonoski,62716,627,61016,97,243,187
0208,   kłodzki,164330,1643,148681,90,25,28
0209,   legnicki,74401,744,55032,74,198,210
0210,   lubański,42834,428,51886,121,297,228
0211,   lubiński,71162,712,103426,145,214,73
0212,   lwówecki,70969,710,43157,61,216,260
0213,   milicki,71488,715,35826,50,211,291
0214,   oleśnicki,104935,1049,106481,101,112,68
0215,   oławski,52411,524,77300,147,277,130
0216,   polkowicki,77971,780,61308,79,187,184
0217,   strzeliński,62189,622,41990,68,247,267
0218,   średzki,70420,704,58508,83,218,197
0219,   świdnicki,74142,741,151248,204,199,23
0220,   trzebnicki,102479,1025,87287,85,120,99
0221,   wałbrzyski,43021,430,53115,123,296,222
0222,   wołowski,67495,675,45728,68,231,249
0223,   wrocławski,111790,1118,182778,164,104,10
0224,   ząbkowicki,80163,802,61087,76,182,186
0225,   zgorzelecki,83861,839,85898,102,169,102
0226,   złotoryjski,57587,576,40929,71,265,272
0261,   Jelenia Góra,10930,109,75794,693,25,45
0262,   Legnica,5629,56,93040,1653,50,39
0265,   Wałbrzych,8468,85,101857,1203,35,37
0264,   Wrocław,29281,293,674079,2302,7,3
0401,   aleksandrowski,47462,475,53736,113,287,218
0402,   brodnicki,103990,1040,78057,75,116,126
0403,   bydgoski,139404,1394,125436,90,48,47
0404,   chełmiński,52701,527,49562,94,276,236
0405,   golubsko-dobrzyński,61268,613,43547,71,256,257
0406,   grudziądzki,72879,729,39162,54,207,277
0407,   inowrocławski,122526,1225,151925,124,78,22
0408,   lipnowski,101673,1016,63051,62,123,175
0409,   mogileński,67515,675,43853,65,230,255
