MESSAGE_ID,THEMES,TOPICS
20,Request for assistance,"['Where to send help', 'Address']"
34,Logistics and Communication,"['Leaving Wrocław', 'Making plans', 'Deliveries and contacts at the border']"
46,Desire for urgent help with cross-border travel,"['Travel to Poland', 'Oncology nurse', 'Przemysl/Krakow', 'Crossing the border', 'Need for a car']"
48,Generosity and admiration for the unexpected help received,"['help', 'respect', 'admiration']"
49,Hospitality and accommodation,Polish woman offering accommodation near Dresden for a girl with a child
53,Transportation restrictions during Covid-19,"['Traveling from Odessa to Poland', 'Transportation limitation for tomorrow']"
101,Worries about finding a good person,"Child on power of attorney, encountering a good person"
124,Travel,Directions
126,Accessible services for foreigners,"['Free consultations', 'Poland', 'Foreigners', 'Native language']"
127,Humanitarian assistance,"['Polish Railways', 'Ukrainians', 'free travel']"
167,Travel and Difficulties,"['Getting to Poland', 'Chaos in Lviv']"
168,The theme of the text is the difference between reality and appearance.,Photos
172,Financial Assistance,"['Lack of Money', 'Request for Financial Help']"
175,Humanitarian Assistance and Community Support,"['Offering a transfer from Breslau/Poland to the North of Germany', 'Collecting money for food and fuel', 'Providing accommodations in Flensburg/Germany', 'Assistance for families with children', 'Safety and well-being']"
176,Offering transportation and accommodation assistance,"['Transfer to Breslau/Poland and northern Germany', 'Collection of money for food and fuel', 'Availability of a child seat', 'Offer of assistance in Flensburg/Germany']"
187,Negation,[]
188,Age demographics,18-60
191,Inequality,"['Race', 'Discrimination']"
195,Family and responsibilities,"['White ticket', 'father of many children', 'guardian']"
196,Legal and ethical concerns,['Underage']
201,Unfitness in military,Military ID
203,Restrictions and generalizations,Age-based restrictions on going out
205,Practical Concerns and Needs,"['Availability of Contact Lenses', 'Need for Prescription', 'Accommodation for Women and Children']"
206,Request for assistance,"['Location: Przemysl', 'Request for a ride to Wroclaw']"
208,limitation,['maximum']
210,humanitarian support for refugees,"['refugees in Poland', 'support groups', 'integration programs']"
231,Humanitarian assistance and assistance for travel,"['Travel from Lviv to Poland', 'Accommodation for 2 women and 5 children']"
234,unclear,
238,Transportation,Traveling from Przemysl to Lodz
245,Humanitarian Assistance,"['Transportation', 'Expatriates']"
248,Family and pets,"['Teenage children', 'Small dog']"
249,Humanitarian assistance,"['Transportation assistance', 'Accommodation support']"
274,Aggression and concern,Gun violence
278,Possession/Ownership,Whose object
280,Unclear request,Document request
283,Desire,Ban
284,Appeal for peace and compassion,"['Stop bloodshed', 'Treat Russian people well', 'Russian soldiers as friends']"
286,rejection,document
287,Deletion and retrieval,Deleting items and returning them
288,Unclear,['Request']
292,Censorship and moderation,"['Offensive content', 'Deletion']"
293,distrust,['creation of a group to help Ukrainians']
294,Emotional impact of bombs and travel,"['Emotions', 'Bombs', 'Travel']"
300,Gratitude,['Appreciation']
302,Banking question,Banking institution
305,Not enough information to provide a thematic assessment of the text.,
307,negative emotions,"overwhelm, inability to continue"
312,balance,['balance']
313,Cultural Stereotypes and Frustration,"['Group link posted in wrong place', 'Origin of Russians']"
314,Earn a living,['earning money']
316,unclear,[]
318,Emotional detachment,['You']
320,Positive attitude and fearlessness,Fear
324,Request for immediate assistance with transportation,"['Transportation', 'Urgency', 'Family']"
327,Information request,"['American Embassy', 'applications', 'Warsaw']"
329,Gratitude,Expressing thanks
333,Migration,"['City of Konstantivka', 'Leaving Konstantivka', 'Means of leaving']"
334,Criticism of societal expectations towards women,"['Identity', 'Motherhood', 'Beauty standards']"
337,Communication,Administrative message
341,Language filtering,Write in Ukrainian to filter out people
342,unclear,[]
362,Humanitarian aid and support,"['Assistance for people in need', 'Challenges faced by individuals at the crossroads']"
371,Transportation,Last bus and return
372,Price promotion for children,Free admission for children under 10 years old
373,Provocation,Emotional response
374,Questioning,Purpose of being here
375,Uncertainty,Thinking and Communication
376,negativity and contempt,knowledge and intelligence
377,Communication,Writing
378,Negative tone,['Stupid questions']
379,Blocking and stopping communication,"['Blocking', 'Stopping discussion', 'Dealing with conflict']"
385,Reservations about Russian intentions,Russian help in Ukraine
391,Migration,Seeking assistance for crossing border
392,Language and Communication,"['Pigs', 'Understanding']"
397,Negative judgment,Devaluation
401,Unknown,[]
402,Citizenship and Border Control,Allowing men with different citizenship across the border
403,Citizenship and residence permits,"['Ukrainian citizenship', 'European residence permit']"
406,Restriction on release for 18-year-olds,Age-based release limitations
407,problem-solving,['problem']
410,Border crossing conditions for men aged 18 to 60,"['Deferral from conscription or placement on special military records', 'Unsuitability for military service based on medical commission conclusion', 'Having three or more children under the age of 18', 'Being a single parent of a minor child', 'Providing care for a disabled child', 'Loss or disappearance of close relatives in the area of the Joint Forces Operation']"
414,expression of gratitude,['thank you']
415,Emotion,Symbolism
416,Gratitude,Expressing appreciation
418,Politeness and gratitude,You're welcome
426,Transportation and travel,Free transportation to Krakow or settlements towards Krakow from the Grebenne border (Rava-Ruska)
449,Request for urgent assistance,Finding a bus from Lviv to Poland
470,Transportation,"Lviv to Poland, Women, Children"
473,Desperation and Seeking Help,"['Shigini hiking trail', 'distance left', ""mother's inability to continue"", 'seeking assistance from others', 'bus option', 'desire for pick-up', 'people driving by', 'inability to afford a ticket']"
476,Gratitude,Thanks
477,Humanitarian assistance,"['Volunteers at Medics', 'Assistance for a stressed woman and her baby']"
481,Immigration and international travel,"Citizenship, residency, and travel restrictions"
492,Humanitarian assistance,"['Water provision', 'Healthcare']"
497,Immigration and Asylum,"['Obtaining a foreign passport in Poland', 'Applying for asylum', 'Biometric passport']"
517,Positive outlook,Ability
518,Uncertainty,Polish border
521,Reflection and self-exploration,Looking within ourselves
522,Request for assistance,Need for pick-up
523,Contempt,['border']
524,Refugee application and legal documentation,"['Necessity of writing a refugee application', 'Pros and cons of writing a refugee application', 'Obtaining missing documents in order to legally stay in Poland', 'Finding a job in Poland', 'Enrolling children in school in Poland']"
525,Refugee assistance,"['Border crossing', 'Refugee centers']"
526,Technology and online assistance,"['Support', 'Mapping', 'Help', 'Online assistance']"
535,impression,['train']
536,Request for driver services,Hiring a driver
538,Stability and control in Kiev,"['Calm situation', 'Control by Ukrainian army', 'Clashes with sabotage groups']"
546,Travel,"['Location', 'Transportation']"
550,Humanitarian Assistance,"['Volunteers', 'Feeding people', 'Providing water']"
552,Movement/Progress,Distance and Time
554,Unknown,Krakovec
562,Healthcare,Medication usage
564,Slow progress,Progress
568,Confusion,Line length
573,Transportation advertisement,Going from Dorogusk-Yagodin to Wroclaw
577,Emergency Assistance Request,"['Medical Emergency', 'Contacting Ministry of Foreign Affairs of Ukraine', 'Contacting Responsible Police']"
581,Transportation services,Free transportation from the Grebenne border to Krakow
582,Travel,Traveling from Lviv to Poland by train
586,Humanitarian Crisis,"['Border Situation', 'Blockage of Passage', 'Waiting for Relatives', 'Idling Buses', 'Long Queues']"
600,Transportation,"['Goloseevskaya', 'Vokzal']"
604,Transportation in the Russian field,Lack of pedestrian access and reliance on special buses
607,Travel inquiry,Travel to the Czech Republic
608,Transportation,Pickup and return
615,The text is about seeking assistance in conducting a thematic analysis of a specific text.,Conducting thematic analysis
